번호,시설명,주소
1333,꿈을펼쳐라지역아동센터,충청남도 아산시 어의정로183번길 25 (풍기동)
1334,함께하는지역아동센터,충청남도 천안시 동남구 고재24길 6 (원성동)
1335,(시립)도담 상대원동 지역아동센터,경기도 성남시 중원구 금상로 134 (상대원동)
1336,오식도지역아동센터,"전라북도 군산시 요죽2길 32-5, 101호 (오식도동)"
1337,이든지역아동센터,충청남도 부여군 규암면 호수로 32 (대동아파트상가 2층)
1338,한사랑지역아동센터,전라북도 전주시 완산구 쑥고개로 241-8 (효자동2가)
1339,사랑의지역아동센터,"인천광역시 부평구 안남로 260 (산곡동, 현대5차아파트상가, 2층)"
1340,꿈자람 학대피해아동 쉼터,"서울특별시 동대문구 한천로58길 139, 105동 2층 2호 (이문동)"
1341,신흥 지역아동센터,경기도 성남시 수정구 탄리로52번길 32 (신흥동)
1342,서울동남권아동보호전문기관,"서울특별시 송파구 송이로32길 6, 5층 (문정동)"
1343,영등포아동보호전문기관,"서울특별시 영등포구 당산로2길 12 (문래동3가, 에이스테크노타워 407호)"
1344,소하지역아동센터,"경기도 광명시 성채로50번길 14, 2층층 (소하동, 광명열린문교회)"
1345,아이들천국 지역아동센터,경기도 성남시 수정구 탄리로45번길 13 (수진동)
1346,도담지역아동센터,광주광역시 광산구 신가로40번길 11 (신가동)
1347,무지개행복한홈스쿨,"경기도 수원시 권선구 경수대로 219, 2층 (세류동)"
1348,하시리우리집,충청북도 단양군 매포읍 하시5길 38
1349,전원해운지역아동센터,"경상남도 창원시 마산합포구 월영동로 19, 201호 (해운동, 두산아파트)"
1350,청개구리지역아동센터,"충청북도 청주시 서원구 성봉로 88, 102동 pit층 (성화동)"
1351,동주의집,"부산광역시 부산진구 백양관문로77번길 55, 104동 1902호 (개금동, 동원화인아파트)"
1352,은하수지역아동센터,경기도 양주시 백석읍 꿈나무로 311 (동화은하수 초록마을아파트)
1353,진잠지역아동센터,대전광역시 유성구 진잠로92번길 24 (원내동)
1354,큰미래지역아동센터,"서울특별시 강서구 방화대로23길 49-5, 1층 (공항동)"
1355,사비지역아동센터,충청남도 부여군 부여읍 성왕로 256
1356,장산지역아동센터,"경상북도 경산시 성암로12길 40-15, A동 3층 301호 (옥산동)"
1357,산들강지역아동센터,"전라남도 목포시 백년대로337번길 35, 305호 (상동)"
1358,아름다운안암지역아동센터,서울특별시 동대문구 약령시로 12 (제기동)
1359,부림지역아동센터,서울특별시 은평구 연서로37길 51 (불광동)
1360,밝은지역아동센터,"서울특별시 강서구 양천로17길 26-2, 1층 (방화동)"
1361,매홀지역아동센터,경기도 오산시 박동길 28 (수청동)
1362,꿈샘지역아동센터,강원도 춘천시 후석로228번길 47 (후평동)
1363,신나라지역아동센터,"광주광역시 서구 운천로 43, 상가동 2층 201호 (금호동, 시영근로복지아파트)"
1364,푸르네지역아동센터,충청남도 홍성군 홍동면 충절로 427-9
1365,명륜지역아동센터,"강원도 원주시 서원대로 308, 204동 1층 106호 (명륜동, 현대아파트)"
1366,LH행복꿈터 삼화지역아동센터,"제주특별자치도 제주시 화삼북로2길 12, 2층 (화북일동)"
1367,친구와함께지역아동센터,"경기도 용인시 수지구 대지로 58, 311호 (죽전동, 선진포리스트)"
1368,해밀쉼터,전라남도 해남군 해남읍 북부순환로 8
1369,밀목지역아동센터,"경기도 광주시 벌원길 64-14, 3, 4층 (탄벌동)"
1370,나래지역아동센터,"충청남도 아산시 문화로 33-11, 2층층 202호 (실옥동, 주신빌딩)"
1371,옹달샘지역아동센터,경상북도 군위군 군위읍 중앙2길 8-21
1372,산서지역아동센터,전라북도 장수군 산서면 신덕길 9-4
1373,초록별,충청북도 제천시 백운면 천등박달로 1358 (라동)
1374,"믿음,소망,사랑 지역아동센터",인천광역시 부평구 남부역로5번길 36 (부평동)
1375,용인지역아동센터,경기도 용인시 처인구 이동읍 이원로 69-8 (용인종합사회복지관 4층)
1376,충청남도가정위탁지원센터,"충청남도 천안시 서북구 두정중10길 8, 4층 (두정동)"
1377,스쿨지역아동센터,대구광역시 서구 평리로 400 (내당동)
1378,밝은별 지역아동센터,경기도 수원시 권선구 서둔로7번길 10 (고색동)
1379,수안보지역아동센터,충청북도 충주시 수안보면 조산공원길 61
1380,드림아이지역아동센터,"경기도 용인시 기흥구 흥덕1로 97, 2층 205호 (영덕동, 수다프라자)"
1381,영천지역아동센터,"전라남도 장성군 장성읍 영천로 184-2, 2층"
1382,아름드리 지역아동센터,경기도 수원시 권선구 매실로53번길 20 (호매실동)
1383,홀리폴리지역아동센터,"경기도 양주시 고암길 305-40, 411동 1층 4호 (덕정동, 청담마을)"
1384,한우리 그룹홈,경기도 안성시 중앙로367번길 51-3 (금산동)
1385,운암지역아동센터,광주광역시 북구 비엔날레로3번길 21 (운암동)
1386,샛별지역아동센터,"인천광역시 계양구 장제로946번길 16-2, 2층 (병방동)"
1387,당평비전지역아동센터,"부산광역시 부산진구 백양대로136번길 37-9, 3동 (당감동)"
1388,드림홈,전라남도 해남군 송지면 땅끝해안로 1539-2
1389,샘바위지역아동센터,"경상남도 창원시 진해구 동진로 126 (덕산동, 샘바위지역아동센터)"
1390,라온,"서울특별시 강서구 송정로 14-12, 1층 (공항동)"
1391,초지마을지역아동센터,"경기도 안산시 단원구 초지로 182, 2층 (초지동, 창대빌딩)"
1392,안산열린교실본오동지역아동센터,"경기도 안산시 상록구 본원로 86, 2층 (본오동)"
1393,그레이스 지역아동센터,경기도 수원시 팔달구 고화로81번길 10 (고등동)
1394,글로벌지역아동센터,"부산광역시 기장군 정관읍 산단4로 139, 108동 105호 (동원로얄듀크1차)"
1395,아이사랑지역아동센터,"인천광역시 남동구 용천로 91, 2층 (구월동)"
1396,동녘,"경기도 고양시 일산동구 중앙로 1123, 1층 160호 (백석동, 흰돌마을)"
1397,부산진지역아동센터,"부산광역시 부산진구 당감서로 72, 3층 (당감동)"
1398,회원한솔지역아동센터,"경상남도 창원시 마산회원구 회원천북길 247, 2층 (회원동)"
1399,에덴하우스,"경기도 화성시 영통로27번길 35, 308동 404호 (반월동, 신영통현대아파트)"
1400,한울그룹홈,"광주광역시 광산구 수등로 280, 104동 101호 (신가동, 신가1차호반리젠시빌)"
1401,솔나무지역아동센터,"서울특별시 동작구 등용로9길 2, 1층 (대방동)"
1402,울산남부아동보호전문기관,울산광역시 남구 돋질로355번길 23 (삼산동)
1403,드림지역아동센터,"경기도 오산시 궐리사로59번길 6-3, 2층 (궐동, 칠원빌)"
1404,거산지역아동센터,"충청남도 당진시 신평면 솔밭밑길 15-44, 가동 105호"
1405,바람개비 꿈터 공립 지역아동센터,광주광역시 광산구 산정공원로28번길 41 (월곡동)
1406,길가에사랑터,"경기도 남양주시 경춘로1350번길 34, 102동 1002호 (평내동, 효성타운아파트)"
1407,한아름지역아동센터,"전라남도 나주시 그린로 276, 406동 102호 (빛가람동, LH아파트)"
1408,우리가족,"경기도 부천시 안곡로 4, 208동 302호 (괴안동)"
1409,미라클,"경기도 안산시 상록구 시낭북로5길 16, 3층 301호 (부곡동)"
1410,참조은지역아동센터,경상남도 밀양시 미리벌중앙로1길 6-15 (삼문동)
1411,와청소년지역아동센터,경기도 안양시 만안구 석수로178번길 31 (석수동)
1412,통영시공립지역아동센터,경상남도 통영시 미수로 92-10 (미수동)
1413,구립상계1동지역아동센터,서울특별시 노원구 동일로 1697 (상계동)
1414,시종밝은지역아동센터,전라남도 영암군 시종면 고분로 27
1415,언양서부지역아동센터,울산광역시 울주군 언양읍 방천3길 15-3
1416,초록나무지역아동센터,"경기도 화성시 봉담읍 수영로82번길 4, 201동 1층 102호 (한울마을 신창비바패밀리2단지아파트)"
1417,기은지역아동센터,전라남도 장성군 장성읍 문화로 21-34 (관리사무소2층)
1418,꿈자람그룹홈,"광주광역시 광산구 소촌로152번길 11, 304동 103호 (소촌동, 소촌이지스위트밸리3차)"
1419,옥터지역아동센터,"경기도 시흥시 오이도2길 17 (정왕동, 1층)"
1420,1318 꿈나무 지역아동센터,"경상북도 안동시 번영1길 7, 2층 (천리동)"
1421,꿈이있는지역아동센터,경상북도 구미시 산호대로25길 25-24 (옥계동)
1422,성주지역아동센터,"경상남도 창원시 성산구 안민안길 47, 3층 (안민동)"
1423,두리하나 지역아동센터,경기도 화성시 남양읍 남양시장로 45
1424,욱일지역아동센터,세종특별자치시  조치원읍 충현로 159 (욱일상가404호)
1425,성동지역아동센터,충청남도 논산시 성동면 성동로240번길 10
1426,솔빛지역아동센터,"서울특별시 송파구 성내천로18길 1, 2층 (거여동)"
1427,비홍지역아동센터,충청북도 청주시 청원구 내수읍 세교초정로 120
1428,해찬솔지역아동센터,전라남도 해남군 해남읍 성동2길 3-8
1429,홀트아동상담소,서울특별시 마포구 합정동 471번지
1430,자람터지역아동센터,"충청남도 금산군 금산읍 비단로 357, 2층"
1431,강원도아동복지센터(아동상담소),강원도 원주시 판부면 도매촌길 54
1432,새싹지역아동센터,경상북도 영덕군 영해면 원당1길 31
1433,온고을지역아동센터,"전라북도 전주시 덕진구 견훤로 375, 2층 (인후동2가)"
1434,동안지역아동센터,"경기도 동두천시 원터강변로 34, 201,202호 (동두천동, 유진빌라)"
1435,청운보육원,서울특별시 동작구 국사봉1길 145 (상도동)
1436,어울림 지역아동센터,경상북도 포항시 남구 정몽주로879번길 9 (청림동)
1437,덕진지역아동센터,경기도 양주시 평화로1479번길 54-16 (덕계동)
1438,평강지역아동센터스쿨,경기도 남양주시 진건읍 진건오남로 69
1439,원덕지역아동센터,강원도 삼척시 원덕읍 호산3길 102
1440,어등지역아동센터,광주광역시 광산구 우산로95번길 29 (우산동)
1441,문창비젼지역아동센터,대전광역시 중구 문창로69번길 50 (부사동)
1442,흥전지역아동센타,강원도 삼척시 도계읍 흥전안길 17-12
1443,애프터스쿨지역아동센터,"전라남도 순천시 비봉2길 3-30, 4층 (조례동)"
1444,CMS지역아동센터,"경상남도 사천시 주공로 63, 3층 301호 (용강동, 돋을연립)"
1445,민들레지역아동센터,전라남도 목포시 남해로39번길 20 (산정동)
1446,봄이네집,"경기도 성남시 중원구 은이로5번길 21, 301호 (은행동)"
1447,행복한지역아동센터,경상남도 하동군 하동읍 화심안길 22-11
1448,예크지역아동센터,전라남도 장성군 장성읍 방울샘길 52
1449,애신,"서울특별시 서대문구 증가로12나길 87, 4층 (북가좌동, 미래그린빌라)"
1450,용산지역아동센터,충청북도 충주시 남산로 72 (용산동)
1451,다니엘지역아동센터,전라북도 부안군 부안읍 부풍로 38
1452,동탄능동지역아동센터,"경기도 화성시 동탄지성로 150-12, 관리동 (능동, 동탄능동마을 주공아파트)"
1453,어부동지역아동센터,충청북도 보은군 회남면 회남로 1402
1454,풍성한 지역아동센터,"서울특별시 용산구 보광로 54, 2층 (보광동)"
1455,안민희망둥지지역아동센터,"경기도 안양시 만안구 양화로105번길 33, 2층,3층 (박달동)"
1456,고산지역아동센터,제주특별자치도 제주시 한경면 고산로 12-1
1457,멘토지역아동센터,"대구광역시 북구 팔거천동로4길 27, 2층 (구암동)"
1458,협력지역아동센터,부산광역시 금정구 서동시장길 4-7 (서동)
1459,염광지역아동센터 빛나는집,서울특별시 동대문구 전농로16길 83 (전농동)
1460,즐거운 지역아동센터,"경기도 시흥시 신현로12번길 8 (포동, 4층)"
1461,다솔 지역아동센터,서울특별시 성북구 장월로 89-10 (장위동)
1462,사단법인 한마음부설 아란지역아동센터,경상북도 경주시 동성로 25 (성건동)
1463,하늘꿈지역아동센터,"충청남도 예산군 응봉면 예당로 1647-11, 101동 1층 3호 (리치빌아파트)"
1464,동해청소년학교,경상남도 고성군 동해면 외산로 504-122
1465,선한사마리아원,경기도 용인시 처인구 남사면 처인성로398번길 30
1466,비둘기지역아동센터,서울특별시 양천구 지양로3길 7 (신월동)
1467,미라클랜드 지역아동센터,"경기도 안산시 상록구 정재로1길 10, 2층 (부곡동)"
1468,그리심 지역아동센터,경상북도 포항시 북구 기계면 성계길96번길 63-33
1469,풍산정자지역아동센터,경상북도 안동시 풍산읍 어란안길 26
1470,열린지역아동센터,경상북도 성주군 성주읍 성주읍2길 15
1471,오트지역아동센터,"인천광역시 서구 서달로123번길 14, 제301호 (석남동, 청우빌딩)"
1472,꿈쟁이지역아동센터,제주특별자치도 제주시 용문로17길 23-6 (용담이동)
1473,사회복지법인 평화원,경기도 파주시 파주읍 주락길 46
1474,귀복지역아동센터,울산광역시 울주군 온양읍 대운길 61
1475,안산시립지역아동센터,경기도 안산시 단원구 원본로3길 28 (원곡동)
1476,돋움지역아동센터,서울특별시 강동구 동남로81길 82 (고덕동)
1477,행복한지역아동센터,"경상남도 창원시 마산합포구 3·15대로 355-1, 3,4층 (부림동)"
1478,아모텍오디가정,"서울특별시 관악구 봉천로17길 11, 103호 (봉천동)"
1479,새가정 지역아동센터,"전라남도 목포시 하당로 14, 110동 2층 205호 (상동, 꿈동산신안아파트)"
1480,비아미래지역아동센터,광주광역시 광산구 비아안길 113-6 (비아동)
1481,밀양지역아동센터,경상남도 밀양시 상남면 고노실중앙길 41
1482,또래모아지역아동센터,인천광역시 미추홀구 연송로 50 (도화동)
1483,숲지역아동센터,"경기도 시흥시 정왕대로28번길 30, 상가동 302호 (정왕동)"
1484,평화지역아동센터,충청북도 청주시 흥덕구 가로수로1164번길 64-2 (강서동)
1485,영명보육원,세종특별자치시  연서면 월성로 239
1486,김천사랑지역아동센터,경상북도 김천시 대항면 황악로 1522-10
1487,옥구지역아동센터,전라북도 군산시 옥구읍 옥구로 55
1488,매송지역아동센터,경기도 화성시 매송면 화성로 2393
1489,영순지역아동센터,경상북도 문경시 영순면 영순로 189
1490,하늘지역아동센터,전라남도 함평군 해보면 주현길 6
1491,일곡지역아동센터,"광주광역시 북구 우치로537번길 5, 104동 306호 (일곡동, 벽산아파트)"
1492,아이꿈터지역아동센터,"경기도 남양주시 진접읍 금강로 1530-13, 103동 101호 (정광산호아파트)"
1493,비젼지역아동센터,충청북도 청주시 상당구 남일면 45
1494,충청지역아동센터,충청북도 충주시 대가미12길 4 (교현동)
1495,은혜지역아동센터,강원도 춘천시 두하길 14 (효자동)
1496,희망지역아동센터,경기도 의정부시 호국로1142번길 21 (가능동)
1497,향진원,인천광역시 미추홀구 석정로329번길 32 (도화동)
1498,비전지역아동센터,제주특별자치도 서귀포시 중산간서로 88-5 (강정동)
1499,갈산동도토리학교지역아동센터,인천광역시 부평구 평천로 355 (갈산동)
1500,아이마을,강원도 영월군 북면 삼방산길 141-46
1501,경북기독보육원,경상북도 영덕군 영해면 원당1길 31
1502,성빈민들레집그룹홈,"광주광역시 북구 양일로 55, 105동 102호 (연제동, 현대아파트)"
1503,무지개지역아동센터,전라남도 무안군 무안읍 성남2길 38
1504,목양지역아동센터,충청남도 서천군 서천읍 충절로29번길 7
1505,병점지역아동센터,경기도 화성시 병점서로 31-6 (병점동)
1506,행복한 지역아동센터,강원도 태백시 황지로 77-1 (황지동)
1507,부안지역아동센터,"전라북도 부안군 부안읍 석정로 280-6, 103,104호"
1508,자주지역아동센터,"경기도 남양주시 화도읍 수레로1233번길 11, 103동 1층 103호"
1509,명산지역아동센터,전라북도 군산시 명산길 8 (명산동)
1510,월곡지역아동센터,"충청북도 청주시 흥덕구 강내면 탑연월곡길 76-10, A동 201호 (세진빌라2차)"
1511,즐겁고 행복한 집,"대전광역시 중구 대전천서로 401, 401호 (대흥동, 푸르내아파트)"
1512,옹기종기지역아동센터,인천광역시 서구 간촌로31번길 16 (연희동)
1513,사하중앙지역아동센터,부산광역시 사하구 승학로 123 (당리동)
1514,온천제일지역아동센터,부산광역시 동래구 금강로 19 (온천동)
1515,마루아라지역아동센터,서울특별시 중랑구 신내로 115 (신내동)
1516,베다니농원,대구광역시 동구 율하동로28길 8 (신기동)
1517,봉동지역아동센터,전라북도 완주군 봉동읍 낙평장기로 1-13
1518,샘물지역아동센터,제주특별자치도 서귀포시 말질로150번길 37 (강정동)
1519,포항지역아동센터,경상북도 포항시 남구 상공로46번길 13 (대도동)
1520,명동지역아동센터,경상남도 창원시 진해구 명동로85번길 16 (명동)
1521,에스더학교,세종특별자치시  장군면 용연로 126-5
1522,삼육지역아동센터,강원도 태백시 청솔길 13 (황지동)
1523,행복한지역아동센터,인천광역시 남동구 남동대로898번길 25 (간석동)
1524,예닮지역아동센터,전라남도 광양시 사동로 103 (중동)
1525,고천지역아동센터,경기도 의왕시 효행로 12 (고천동)
1526,쌀안지역아동센터,충청북도 청주시 상당구 미원면 미원시내2길 14-18 (미원복지회관 3층)
1527,멘토지역아동센터,광주광역시 북구 호동로15번길 97 (용봉동)
1528,웅상중앙지역아동센터,경상남도 양산시 신명동3길 33 (명동)
1529,한국지역아동센터,경기도 여주시 가남읍 이화길 56-22
1530,경주용강지역아동센터,경상북도 경주시 승삼1길 32 (용강동)
1531,무선지역아동센터,전라남도 여수시 화산1길 68 (화장동)
1532,덕포영재지역아동센터,부산광역시 사상구 백양대로 766 (덕포동)
1533,성산교회부설 한우리지역아동센터,서울특별시 관악구 낙성대역14가길 7 (봉천동)
1534,태양의집,"경상남도 진주시 천수로298번길 10, 101호 (신안동, 대화리네르빌)"
1535,꽃다지지역아동센터,강원도 철원군 서면 와수1로 98
1536,상록지역아동센터,경기도 안산시 상록구 서암로1길 16 (사동)
1537,아이꿈터,광주광역시 서구 내방로 216 (쌍촌동)
1538,다정한 지역아동센터,경기도 부천시 부일로 689-2 (역곡동)
1539,연향동 지역아동센터,"전라남도 순천시 연향2로 14-1, 3층층 (연향동)"
1540,아름이 지역아동센터,"전라남도 영광군 홍농읍 홍농로 805, D동 (D)"
1541,안나의 집,경기도 성남시 중원구 성남대로1151번길 25 (성남동)
1542,무지개지역아동센터,"인천광역시 부평구 부평문화로 127, 4층층 (부평동, 청아빌딩)"
1543,예당지역아동센터,전라남도 보성군 조성면 예당길 198 (예당지역아동센터)
1544,꿈나무지역아동센터,경상북도 문경시 문경읍 청운로 77
1545,연무지역아동센터,충청남도 논산시 연무읍 연무로 208-1
1546,꿈꾸는숲지역아동센터,"경기도 평택시 조개터로26번길 49-13 (합정동, 2층)"
1547,비전지역아동센터,"경기도 남양주시 오남읍 진건오남로 661, 101동 101호 (동부아파트)"
1548,득량지역아동센터,전라남도 보성군 득량면 월평1길 39 (득량지역아동센터)
1549,뜰 지역아동센터,광주광역시 서구 운천로100번길 16 (쌍촌동)
1550,새미실지역아동센터,충청북도 음성군 대소면 오산로14번길 3-11
1551,영등지역아동센터,전라북도 익산시 동서로39길 14 (영등동)
1552,늘푸른지역아동센터,"광주광역시 동구 밤실로 76-2, 3층 (산수동)"
1553,부송지역아동센터,전라북도 익산시 무왕로22길 12 (부송동)
1554,푸른샘지역아동센터,경기도 동두천시 상패로 25 (상패동)
1555,야로지역아동센터,경상남도 합천군 야로면 야로길 10
1556,사랑샘그룹홈 충북지부,충청북도 청주시 청원구 율봉로202번길 66-1 (율량동)
1557,복된지역아동센터,대전광역시 서구 도솔로 52 (도마동)
1558,서부지역아동센터,"경기도 부천시 조마루로372번길 38, 3층 (심곡동)"
1559,고현지역아동센터,"경상남도 거제시 거제중앙로17길 28, B동 4층 (고현동)"
1560,초록빛꿈터 지역아동센터,"경기도 파주시 문산읍 개포래로 34, 3층"
1561,대화지역아동센터,제주특별자치도 제주시 한림읍 명월성로 140
1562,샛별지역아동센터,"서울특별시 노원구 동일로237길 92, 301호 (상계동)"
1563,무지개지역아동센터,경상북도 포항시 남구 양학천로150번길 65-1 (해도동)
1564,선한이웃 지역아동센터,"경기도 파주시 번영로 35, 4층 (금촌동, 정훈빌딩)"
1565,봉명지역아동센터,충청북도 청주시 흥덕구 덕암로68번길 43 (봉명동)
1566,금송지역아동센터,전라북도 김제시 금산면 원평로 114
1567,비전스쿨지역아동센터,대구광역시 동구 효동로1길 21 (효목동)
1568,우리하도지역아동센터,제주특별자치도 제주시 구좌읍 일주동로 3400
1569,소망지역아동센터,전라남도 함평군 나산면 백인동길 33
1570,바라밀의 집,강원도 강릉시 강릉대로 422-12 (포남동)
1571,다음지역아동센터,경기도 부천시 성주로68번길 32 (송내동)
1572,사동지역아동센터,"경상북도 경산시 백양로 181 (사동, 부영근린상가 203호)"
1573,아름다운교실 지역아동센터,"경기도 이천시 부발읍 신원로 18, 2층 (만옥빌딩)"
1574,풀씨배움터 지역아동센터,"경기도 양평군 양서면 양수로171번길 10, 2층 (다목적복지회관 )"
1575,평화로운 집,"전라남도 순천시 연향번영길 94, 106동 401호 (연향동, 동성아파트)"
1576,신안지역아동센터,"광주광역시 북구 서암대로 147-2, 2층 (신안동)"
1577,큰사랑공부방,서울특별시 서초구 방배로13길 29 (방배동)
1578,꿀벌지역아동센터,대구광역시 서구 통학로 182 (평리동)
1579,베스트지역아동센터,광주광역시 광산구 신가삼효로 2-6 (신가동)
1580,선너머지역아동센터,전라북도 전주시 완산구 선너머로 54 (중화산동1가)
1581,쌍책지역아동센터,경상남도 합천군 쌍책면 황강옥전로 1586
1582,꿈동산지역아동센터,경기도 김포시 통진읍 서암로134번길 11
1583,한빛지역아동센터,전라남도 목포시 원산로109번길 9 (산정동)
1584,영애원,전라남도 영암군 영암읍 회의촌길 19
1585,빛과소금 지역아동센터,제주특별자치도 제주시 아봉로 279-19 (월평동)
1586,몽탄지역아동센터,전라남도 무안군 몽탄면 몽탄로 849-2
1587,내수지역아동센터,충청북도 청주시 청원구 내수읍 737
1588,신생보육원,경기도 안성시 금광면 북절골길 72
1589,지역아동센터 나눔공부방,"서울특별시 마포구 대흥로20길 16 (대흥동, 격암빌딩 2층)"
1590,무학지역아동센터,서울특별시 성동구 하왕십리동 한신무학아파트 3동 102호
1591,늘푸른지역아동센터,전라북도 완주군 삼례읍 웃삼례길 18
1592,독립문지역아동센터,"서울특별시 강북구 덕릉로40길 14 (번동, 3층)"
1593,누리글터지역아동센터,대구광역시 달서구 명덕로2길 17 (두류동)
1594,자광아동가정상담원,서울특별시 중랑구 상봉로 7 (면목동)
1595,살미지역아동센터,충청북도 충주시 살미면 세성로 41
1596,참조은아이 지역아동센터,"인천광역시 연수구 새말로 47 (연수동, 2층)"
1597,한마음지역아동센터,전라북도 고창군 고창읍 남구4길 9
1598,요셉의집,"경기도 안산시 단원구 선부광장북로 67, 235동 4층 403호 (선부동, 수정한양아파트)"
1599,미래지역아동센터,광주광역시 남구 회서로22번나길 11 (주월동)
1600,꿈샘지역아동센터,전라남도 광양시 중촌길 15 (중동)
1601,빛나는지역아동센터,대전광역시 중구 모암로13번길 12-2 (호동)
1602,아이들천국지역아동센터,전라북도 전주시 덕진구 태진로 131-2 (금암동)
1603,청도 샬롬의집,경상북도 청도군 청도읍 원리 412번지
1604,해피투게더,전라북도 전주시 덕진구 명주4길 26-2 (인후동2가)
1605,무지개지역아동센터,광주광역시 서구 금화로103번길 7 (금호동)
1606,성애원,강원도 원주시 섭재삼보길 89 (관설동)
1607,더불어숲,"전라북도 군산시 구암3.1로 30, 201동 7층 702호 (대명동, 현대메트로2차)"
1608,창평광덕지역아동센터,전라남도 담양군 창평면 창평로 197
1609,예품지역아동센터,전라북도 군산시 미장동 476번지 미장휴먼시아 관리사무소 지하1층
1610,풀코스모스지역아동센터,경상남도 김해시 가야로 201 (삼계동)
1611,신성,"경기도 고양시 일산동구 일산로 11, 지하호 (백석동, 흰돌마을 5단지)"
1612,본리지역아동센터,대구광역시 달서구 와룡로15길 91 (본리동)
1613,미래지역아동센터,경상북도 경주시 원지길 34-3 (용강동)
1614,상록보육원,서울특별시 관악구 남현길 63 (남현동)
1615,금호꿈동산지역아동센터,"경상북도 영천시 금호읍 교대용대길 6, 2층"
1616,LH-YMCA퇴계푸름이지역아동센터,"강원도 춘천시 승지골길16번길 14, 관리동 2층 (퇴계동, 퇴계7단지주공아파트)"
1617,푸른꿈 지역아동센터,"경상북도 김천시 영남대로 1296, 2층 (다수동)"
1618,다솜지역아동센터,경기도 오산시 성호대로50번길 38 (오산동)
1619,설악지역아동센터,경기도 가평군 설악면 탐선길 16
1620,구세군지역아동센터,"충청남도 아산시 신창면 서부북로 933-30, 2층 (장미@관리동)"
1621,따숨지역아동센터,"전라북도 전주시 덕진구 붓내2길 16-1, 2층 (송천동2가)"
1622,희망지역아동센터,"충청북도 충주시 사직산12길 64-12, 2층 (지현동)"
1623,열린지역아동센터,경상북도 영덕군 영덕읍 야성길 38-3
1624,개운지역아동센터,"강원도 원주시 남원로 634-21 (개운동, 새생명교회 1층 내)"
1625,무지개지역아동센터,"경기도 남양주시 퇴계원면 퇴계원로 19, 106동 102호 (극동아파트)"
1626,나누리지역아동센터,서울특별시 동대문구 전농로17길 7 (전농동)
1627,경기북부가정위탁지원센터,경기도 의정부시 시민로19번길 30-11 (의정부동)
1628,목석죽지역아동센터,전라남도 곡성군 죽곡면 대황강로 787
1629,오정지역아동센터,"대전광역시 대덕구 오정로100번길 41, 2층층 (오정동)"
1630,예사랑지역아동센터,"충청남도 아산시 모종로 110, 3층 (모종동)"
1631,밀알지역아동센터,경기도 화성시 우정읍 조암북로19번길 16
1632,동순천지역아동센터,전라남도 순천시 용당둑길 161 (조곡동)
1633,마음터지역아동센터,"서울특별시 노원구 덕릉로 849, 3층 (상계동)"
1634,어깨동무신나는집,인천광역시 서구 율도로50번길 8-1 (석남동)
1635,암미신월지역아동센터,서울특별시 양천구 가로공원로55길 16 (신월동)
1636,해솔지역아동센터,광주광역시 남구 광복마을3길 25 (진월동)
1637,샛별지역아동센터,경상남도 창원시 성산구 가음로92번길 6 (가음동)
1638,비전지역아동센터,경상남도 진주시 진양호로125번길 22-24 (평거동)
1639,중앙지역아동센터,"대전광역시 유성구 신성로 72, 2층 (신성동)"
1640,사회복지법인 해남등대원,전라남도 해남군 해남읍 해리8길 19
1641,서송 지역아동센터,광주광역시 광산구 월곡중앙로13번길 8-17 (월곡동)
1642,로뎀의 집,광주광역시 동구 무등로 451 (산수동)
1643,소리마을지역아동센터,서울특별시 강동구 구천면로 287-1 (천호동)
1644,주사랑지역아동센터,전라남도 여수시 고소3길 114 (고소동)
1645,삼동지역아동복지센터,서울특별시 마포구 가양대로 124 (상암동)
1646,시온聖지역아동센터,전라남도 목포시 영산로 215-1 (산정동)
1647,해바라기지역아동센터,"광주광역시 광산구 소촌로152번길 38 (소촌동, 소촌동 라인주택)"
1648,에덴지역아동센터,충청남도 논산시 가야곡면 매죽헌로 759
1649,양덕2동지역아동센터,"경상남도 창원시 마산회원구 양덕동2길 76, 106동 1층 101호 (양덕동, 대림하이빌)"
1650,양지지역아동센터,광주광역시 남구 제중로 24-10 (양림동)
1651,가남지역아동센터,경기도 여주시 가남읍 경충대로 1162-19
1652,연제지역아동센터,부산광역시 연제구 월드컵대로58번길 28 (연산동)
1653,갈매지역아동센터,충청남도 아산시 배방읍 갈매길 41
1654,회진지역아동센터,"전라남도 장흥군 회진면 가학회진로 1576, 나동"
1655,해피아이지역아동센터,"경기도 남양주시 오남읍 진건오남로 631, 1004동 204호 (1004)"
1656,충남좋은이웃쉼터,충청남도 천안시 서북구 백석로 224 (성정동)
1657,움트리그룹홈,경상북도 상주시 공성면 영오3길 11-7
1658,혜민지역아동센터,"충청북도 청주시 청원구 우암로54번길 9-7, 빌라2층동 (우암동)"
1659,백운산지역아동센터,"전라남도 광양시 광양읍 남문길 14, 1층"
1660,이현지역아동센터,"경상남도 진주시 평거로 285-1, 2층 (이현동)"
1661,솔로몬지역아동센터,서울특별시 중랑구 망우로73길 83 (망우동)
1662,충주지역아동센터,"충청북도 충주시 봉현로 365, 102동 1층 (안림동, 충주안림LH천년나무1단지)"
1663,주사랑지역아동센터,전라남도 해남군 산이면 비석길 80
1664,계명원,인천광역시 강화군 양도면 강화남로518번길 6-41
